State,Sector,Improved_Source_of_Drinking_Water,Piped_Water_into_Dwelling_or_Yard_plot,Broadband,Mass_media,All,Wash_Hands_with_Water_Only,Wash_Hands_with_Water_and_Ash_mud_sand,Wash_Hands_with_Water_and_Soap_detergent,no_Hand_Washing_Facility,Percentage_of_household_which_have_purchased_constructed_any_house_flat_after_31.03.2014,Percentage_of_household_which_have_purchased_constructed_any_house_flat_after_31.03.2014_for_the_first_time,Percentage_of_household_which_have_purchased_constructed_any_house_flat_after_31.03.2014_for_the_first_time_and_owned_that_house_flat_as_on_date_of_survey,*,Acquisition_of_own_house__flat,Business,Displacement_by_development_project,Health_care,Housing_problems___insufficient_land_holding,In_search_of_better_employment,In_search_of_employment,Marriage,Migration_of_parent_earning_member_of_the_family,"Natural_disaster_(drought,flood,_tsunami,_etc.)",Others,Post_retirement,Proximity_to_place_of_work,Scarcity_of_water,"Social_political_problems_(riots,_terrorism,_political_refugee,_bad_law_and_order,_etc.)",Studies,To_take_up_employment___better_employment,Transfer_of_service__contract,Percentage_of_Persons_Who_Used_Mobile_Telephone_with_Active_Sim_Card_at_Least_Once_During_Last_Three_Months_Preceding_the_Date_of_the_Survey
Kerala,1.0,55.9,32.9,78.9,97.7,100.0,4.0,0.2,95.7,0.1,13.4,65.8,98.1,10.1,4.6,0.6,-,-,3.9,12.4,10.3,0.4,12.1,0.1,20.7,1,2.5,0.9,-,3.7,13,13.8,93.5
Ladakh,,99.8,66.5,56.8,99.2,100.0,6.3,1.4,92.2,0.0,9.2,65.7,51.3,1.5,-,-,-,-,-,-,-,-,-,-,66.4,-,-,-,-,-,-,33.6,95.2
Ladakh,0.0,99.8,67.1,59.7,100.0,100.0,7.0,1.6,91.4,0.0,10.0,64.8,50.6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95.4
Ladakh,1.0,100.0,61.2,41.9,95.0,100.0,0.4,0.3,99.3,0.0,5.2,74.5,57.1,2.8,-,-,-,-,-,-,-,-,-,-,66.4,-,-,-,-,-,-,33.6,93.7
Lakshadweep,,73.8,2.7,65.0,94.9,100.0,1.1,0.0,98.9,0.0,6.2,79.5,100.0,28.2,-,-,-,-,-,15.3,5.9,-,14.6,-,18.2,0.5,9.4,-,-,1.5,15.3,19.3,90.2
Lakshadweep,0.0,76.5,8.6,51.2,99.2,100.0,0.0,0.0,100.0,0.0,6.2,86.3,100.0,47.2,-,-,-,-,-,30.1,10,-,-,-,24.9,-,8.8,-,-,-,25.1,1,95.6
Lakshadweep,1.0,72.8,0.7,70.2,93.3,100.0,1.5,0.1,98.5,0.0,6.1,77.0,100.0,22.1,-,-,-,-,-,5.2,3.1,-,24.5,-,13.6,0.9,9.8,-,-,2.5,8.7,31.7,87.7
Madhya Pradesh,,91.4,29.5,21.6,68.1,100.0,3.1,11.8,83.6,1.6,15.7,44.3,88.9,6.3,4.1,1.8,-,3,2.4,17.3,30.2,0.5,0.9,-,10.6,7.8,-,0,-,11.6,8.7,1.1,76.3
Madhya Pradesh,0.0,88.4,16.1,13.2,60.0,100.0,3.6,15.2,79.2,2.0,16.4,41.8,91.1,9.6,0.6,-,-,-,3.5,22.8,41.3,-,0.5,-,4,-,-,0,-,14.3,13,-,72.8
Madhya Pradesh,1.0,99.5,65.9,43.4,88.9,100.0,1.6,2.4,95.6,0.5,13.7,52.0,83.1,4.5,8.3,4,-,6.6,1.1,10.6,16.8,1.1,1.5,-,18.5,17.3,-,-,-,8.3,3.4,2.4,85.3
Maharashtra,,95.6,70.1,51.7,87.5,100.0,4.8,4.5,89.5,1.2,11.3,51.2,97.4,5.7,4.8,0.2,-,0.7,3.6,26.5,9.1,-,6.6,1.4,13.2,1.8,1.3,1.4,2.1,9.5,14.3,3.4,86.9
